VAR_PDAD,VAR_CAMPO,r,N
EL_pct_jovem_1624_x,PCT_DEPFED_liberal_conservador,0.3374,33
MOR_pct_nativo_df,PCT_GOV_progressista,-0.3364,33
MOR_pct_migrante,PCT_GOV_progressista,0.3364,33
EL_pct_idoso_60+,PCT_SEN_liberal_conservador,-0.3359,33
MOR_pct_jovem_pop,PCT_SEN_progressista,-0.3341,33
MOR_pct_jovem_pop,PCT_DEPFED_liberal_conservador,0.3305,33
MOR_pct_conta_propria,PCT_GOV_liberal_conservador,-0.3285,33
MOR_pct_nativo_df,PCT_SEN_moderado,-0.3281,33
MOR_pct_migrante,PCT_SEN_moderado,0.3281,33
MOR_renda_ind_media,PCT_DEPDIST_moderado,-0.3273,15
MOR_pct_migrante,PCT_DEPDIST_liberal_conservador,0.3271,33
MOR_pct_nativo_df,PCT_DEPDIST_liberal_conservador,-0.3271,33
EL_pct_superior,PCT_DEPDIST_progressista,0.3266,33
MOR_pct_crianca,PCT_DEPDIST_liberal_conservador,-0.3251,33
MOR_escolaridade_media,PCT_DEPDIST_progressista,0.3226,33
MOR_pct_ocupado,PCT_DEPDIST_liberal_conservador,0.3203,33
EL_pct_feminino,PCT_DEPDIST_liberal_conservador,-0.313,33
MOR_pct_sem_fund,PCT_DEPDIST_progressista,-0.3091,33
EL_pct_feminino,PCT_DEPDIST_progressista,0.3076,33
MOR_pct_privado,PCT_GOV_liberal_conservador,-0.3053,33
MOR_pct_idoso_pop,PCT_GOV_liberal_conservador,0.3049,33
MOR_pct_ocupado,PCT_GOV_progressista,0.3046,33
MOR_pct_superior,PCT_DEPDIST_liberal_conservador,0.3003,33
EL_pct_feminino,PCT_GOV_progressista,0.2975,33
MOR_pct_servidor_dist,PCT_DEPDIST_liberal_conservador,0.2956,33
MOR_pct_privado,PCT_GOV_progressista,-0.2893,33
EL_pct_idoso_60+,PCT_GOV_liberal_conservador,0.2865,33
EL_pct_idoso_60+,PCT_DEPFED_liberal_conservador,-0.2861,33
DOM_pct_classe_C,PCT_DEPDIST_progressista,-0.2854,33
DOM_pct_inseg_alimentar,PCT_DEPDIST_liberal_conservador,-0.2837,33
EL_pct_jovem_1624_x,PCT_SEN_liberal_conservador,0.2836,33
MOR_pct_crianca,PCT_GOV_liberal_conservador,-0.2825,33
MOR_pct_migrante,PCT_SEN_progressista,0.2804,33
MOR_pct_nativo_df,PCT_SEN_progressista,-0.2804,33
MOR_pct_privado,PCT_GOV_moderado,0.2774,33
DOM_pct_classe_DE,PCT_DEPDIST_progressista,-0.275,33
MOR_pct_nativo_df,PCT_DEPDIST_moderado,0.2716,33
